@RELATION new_final_data

@ATTRIBUTE snipershotted REAL
@ATTRIBUTE less_50_snipershotted REAL
@ATTRIBUTE 50_100_snipershotted REAL
@ATTRIBUTE 100_200_snipershotted REAL
@ATTRIBUTE 200_500_snipershotted REAL
@ATTRIBUTE 500_800_snipershotted REAL
@ATTRIBUTE 800_1000_snipershotted REAL
@ATTRIBUTE more_1000_snipershotted REAL
@ATTRIBUTE sniperheadshotted REAL
@ATTRIBUTE less_50_sniperheadshotted REAL
@ATTRIBUTE 50_100_sniperheadshotted REAL
@ATTRIBUTE 100_200_sniperheadshotted REAL
@ATTRIBUTE 200_500_sniperheadshotted REAL
@ATTRIBUTE 500_800_sniperheadshotted REAL
@ATTRIBUTE 800_1000_sniperheadshotted REAL
@ATTRIBUTE more_1000_sniperheadshotted REAL
@ATTRIBUTE sniperheadpercentage REAL
@ATTRIBUTE normalshotted REAL
@ATTRIBUTE less_50_normalshotted REAL
@ATTRIBUTE 50_100_normalshotted REAL
@ATTRIBUTE 100_200_normalshotted REAL
@ATTRIBUTE 200_500_normalshotted REAL
@ATTRIBUTE 500_800_normalshotted REAL
@ATTRIBUTE 800_1000_normalshotted REAL
@ATTRIBUTE more_1000_normalshotted REAL
@ATTRIBUTE normalheadshotted REAL
@ATTRIBUTE less_50_normalheadshotted REAL
@ATTRIBUTE 50_100_normalheadshotted REAL
@ATTRIBUTE 100_200_normalheadshotted REAL
@ATTRIBUTE 200_500_normalheadshotted REAL
@ATTRIBUTE 500_800_normalheadshotted REAL
@ATTRIBUTE 800_1000_normalheadshotted REAL
@ATTRIBUTE more_1000_normalheadshotted REAL
@ATTRIBUTE normalheadpercentage REAL
@ATTRIBUTE onetap REAL
@ATTRIBUTE less_50_onetap REAL
@ATTRIBUTE 50_100_onetap REAL
@ATTRIBUTE 100_200_onetap REAL
@ATTRIBUTE 200_500_onetap REAL
@ATTRIBUTE 500_800_onetap REAL
@ATTRIBUTE 800_1000_onetap REAL
@ATTRIBUTE more_1000_onetap REAL
@ATTRIBUTE onetappercentage REAL
@ATTRIBUTE inertialshottime REAL
@ATTRIBUTE totalkills REAL
@ATTRIBUTE inertialshotpercentage REAL
@ATTRIBUTE onepenetrationwallbangtime REAL
@ATTRIBUTE twopenetrationswallbangtime REAL
@ATTRIBUTE manypenetrationswallbangtime REAL
@ATTRIBUTE firstkilltime REAL
@ATTRIBUTE blindedkilltime REAL
@ATTRIBUTE noscopekilltime REAL
@ATTRIBUTE thrusmokekilltime REAL
@ATTRIBUTE totalround REAL
@ATTRIBUTE incendiary_molotov REAL
@ATTRIBUTE incendiary_molotov_per_round REAL
@ATTRIBUTE avg_incendiary_molotov_per_round REAL
@ATTRIBUTE total_incendiary_molotov REAL
@ATTRIBUTE flashbang REAL
@ATTRIBUTE flashbang_per_round REAL
@ATTRIBUTE avg_flashbang_per_round REAL
@ATTRIBUTE total_flashbang REAL
@ATTRIBUTE hegrenade REAL
@ATTRIBUTE hegrenade_per_round REAL
@ATTRIBUTE avg_hegrenade_per_round REAL
@ATTRIBUTE total_hegrenade REAL
@ATTRIBUTE smokegrenade REAL
@ATTRIBUTE smokegrenade_per_round REAL
@ATTRIBUTE avg_smokegrenade_per_round REAL
@ATTRIBUTE total_smokegrenade REAL
@ATTRIBUTE im_applied_rate REAL
@ATTRIBUTE fb_applied_rate REAL
@ATTRIBUTE he_applied_rate REAL
@ATTRIBUTE smk_applied_rate REAL
@ATTRIBUTE flashthrown REAL
@ATTRIBUTE affectedenemycount REAL
@ATTRIBUTE affectedenemyduration REAL
@ATTRIBUTE affectedenemyefficiency REAL
@ATTRIBUTE affectedfriendlycount REAL
@ATTRIBUTE affectedfriendlyduration REAL
@ATTRIBUTE affectedfriendlydeficiency REAL
@ATTRIBUTE affectedtotalduration REAL
@ATTRIBUTE flashefficiencyintotal REAL
@ATTRIBUTE avg_killtick REAL
@ATTRIBUTE max_killtick REAL
@ATTRIBUTE min_killtick REAL
@ATTRIBUTE avg_delta REAL
@ATTRIBUTE max_delta REAL
@ATTRIBUTE min_delta REAL
@ATTRIBUTE avg_gamma REAL
@ATTRIBUTE max_gamma REAL
@ATTRIBUTE min_gamma REAL
@ATTRIBUTE avg_t0_t1_duration REAL
@ATTRIBUTE max_t0_t1_duration REAL
@ATTRIBUTE min_t0_t1_duration REAL
@ATTRIBUTE avg_t1_t2_duration REAL
@ATTRIBUTE max_t1_t2_duration REAL
@ATTRIBUTE min_t1_t2_duration REAL
@ATTRIBUTE avg_duration REAL
@ATTRIBUTE max_duration REAL
@ATTRIBUTE min_duration REAL
@ATTRIBUTE avg_speed REAL
@ATTRIBUTE max_speed REAL
@ATTRIBUTE min_speed REAL
@ATTRIBUTE damagedistance REAL
@ATTRIBUTE ratioofhitwhenmoving REAL
@ATTRIBUTE chest REAL
@ATTRIBUTE generic REAL
@ATTRIBUTE head REAL
@ATTRIBUTE leftarm REAL
@ATTRIBUTE leftleg REAL
@ATTRIBUTE neck REAL
@ATTRIBUTE rightarm REAL
@ATTRIBUTE rightleg REAL
@ATTRIBUTE stomach REAL
@ATTRIBUTE precision REAL
@ATTRIBUTE ischeater {0.153141361,0.18372093,FALSE,TRUE}

@DATA
4,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1,0.5,134,4,0,6,28,41,21,34,9,0,0,0,3,2,1,3,0.067164179,4,0,0,0,0,1,0,3,0.029850746,2,35,0.057142857,2,0,0,5,1,0,0,12,13,35.506532,0.688567338,10,16.05927726,0.311432662,51.56580926,0.377134675,48,24,0.5,2.895833333,139,14,0.291666667,3.5,168,3,0.0625,0.666666667,32,25,0.520833333,2.541666667,122,0.172661871,0.083333333,0.09375,0.204918033,107.2,882,11,8.628587105,89.169177,0,2.784451632,89.110227,0,0.225945724,0.3125,0,0.163651316,1.484375,0,0.389597039,1.796875,0.015625,90.76606811,1282.955559,0,773.536638,0.137681159,0.333333333,0.079710145,0.079710145,0.028985507,0.028985507,0,0.137681159,0.043478261,0.268115942,0.151589242,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,4,56,36,15,20,31,0,0,1,13,10,3,4,0.236641221,15,0,0,1,5,5,1,3,0.114503817,2,48,0.041666667,0,0,0,9,1,0,0,2,0,0,0,4,8.53488192,1,8.53488192,-1,48,14,0.291666667,2.895833333,139,2,0.041666667,3.5,168,0,0,0.666666667,32,14,0.291666667,2.541666667,122,0.100719424,0.011904762,0,0.114754098,171.3421053,1248,14,12.44820151,87.858201,0,9.05828027,81.60938,0,0.206081081,0.3125,0,0.292863176,1.46875,0,0.498944257,1.671875,0.015625,211.7242678,2294.156394,0,608.7476217,0,0.419847328,0.007633588,0.236641221,0.030534351,0.022900763,0,0.061068702,0.030534351,0.190839695,0.178817056,FALSE
",11,0,0,0,0,1,0,10,1,0,0,0,0,0,0,1,0.090909091,121,0,1,11,44,26,16,23,9,0,0,2,3,3,0,1,0.074380165,1,0,0,0,1,0,0,0,0.008264463,0,28,0,0,0,0,4,1,0,0,10,11,24.38289682,0.456085034,15,29.07839875,0.543914966,53.46129557,-0.087829932,48,14,0.291666667,2.895833333,139,11,0.229166667,3.5,168,8,0.166666667,0.666666667,32,9,0.1875,2.541666667,122,0.100719424,0.06547619,0.25,0.073770492,238.125,1162,0,5.992599821,63.100894,0,6.387427464,75.746339,0,0.208147321,0.3125,0,0.339285714,1.5,0,0.547433036,1.8125,0,175.6337554,1142.55927,0.397049371,695.451062,0.098484848,0.386363636,0.121212121,0.075757576,0.022727273,0.015151515,0,0.075757576,0.037878788,0.265151515,0.153141361,FALSE
16,0,0,0,0,0,2,14,1,0,0,0,0,0,0,1,0.0625,114,0,6,10,17,49,18,14,13,0,0,2,2,6,1,2,0.114035088,4,0,0,0,1,1,1,1,0.035087719,0,33,0,0,1,0,7,0,0,1,16,24,63.20494659,0.548498903,22,52.02763869,0.451501097,115.2325853,0.096997806,48,8,0.166666667,2.895833333,139,16,0.333333333,3.5,168,0,0,0.666666667,32,3,0.0625,2.541666667,122,0.057553957,0.095238095,0,0.024590164,182.5769231,804,14,8.801346366,80.932258,0,4.836953366,79.034194,0,0.2265625,0.3125,0,0.22027439,1.4375,0,0.44683689,1.75,0.015625,113.742061,1350.544403,0,771.0303675,0.007692308,0.484615385,0.053846154,0.107692308,0.023076923,0.038461538,0,0.084615385,0.053846154,0.153846154,0.169680111,FALSE
15,0,0,0,1,2,1,11,1,0,0,0,0,0,0,1,0.066666667,98,0,0,5,11,27,25,30,12,0,0,0,3,5,1,3,0.12244898,7,0,0,0,3,2,1,1,0.071428571,0,32,0,1,0,0,6,0,0,1,16,25,52.53880346,0.670382142,17,25.83262104,0.329617858,78.37142449,0.340764285,48,10,0.208333333,2.895833333,139,17,0.354166667,3.5,168,5,0.104166667,0.666666667,32,10,0.208333333,2.541666667,122,0.071942446,0.101190476,0.15625,0.081967213,218.037037,1128,8,5.066819615,80.90624,0,2.138332051,73.286358,0,0.232371795,0.3125,0.015625,0.279046474,1.5,0,0.511418269,1.8125,0.03125,125.9834755,1767.208446,0.28125,935.8608052,0.026548673,0.371681416,0.088495575,0.115044248,0.026548673,0.044247788,0,0.053097345,0.044247788,0.256637168,0.122009569,FALSE
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,132,0,0,10,47,26,25,24,14,0,0,2,2,5,4,1,0.106060606,3,0,0,0,0,2,1,0,0.022727273,1,29,0.034482759,0,0,0,2,0,0,0,25,41,90.00427867,0.671114637,22,44.10735251,0.328885363,134.1116312,0.342229274,48,10,0.208333333,2.895833333,139,31,0.645833333,3.5,168,0,0,0.666666667,32,15,0.3125,2.541666667,122,0.071942446,0.18452381,0,0.12295082,238.8571429,1280,9,7.119790412,85.319301,0,2.724139471,77.378886,0,0.237591912,0.3125,0.015625,0.341681985,1.46875,0,0.579273897,1.78125,0.015625,70.16595453,1754.25966,0,656.5363546,0.030075188,0.436090226,0.052631579,0.105263158,0.022556391,0.045112782,0.007518797,0.060150376,0.022556391,0.248120301,0.134328358,FALSE
10,0,0,0,1,1,2,6,1,0,0,0,0,0,0,1,0.1,221,0,0,17,117,45,30,12,12,0,0,0,7,3,1,1,0.054298643,0,0,0,0,0,0,0,0,0,4,40,0.1,0,0,0,5,1,0,0,2,6,2.027922344,0.329108751,2,4.13393856,0.670891249,6.161860904,-0.341782499,48,0,0,2.895833333,139,3,0.0625,3.5,168,0,0,0.666666667,32,2,0.041666667,2.541666667,122,0,0.017857143,0,0.016393443,254.5,1278,12,5.120168525,77.674404,0,1.21685795,20.843303,0,0.23203125,0.3125,0,0.2859375,1.46875,0,0.51796875,1.78125,0.078125,42.58187875,955.2012808,0.253515324,555.4816551,0.056277056,0.445887446,0.004329004,0.056277056,0.038961039,0.073593074,0.008658009,0.051948052,0.056277056,0.264069264,0.152015863,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,0,14,18,23,19,36,13,0,0,1,6,2,2,2,0.117117117,4,0,0,0,2,1,1,0,0.036036036,0,21,0,0,0,0,4,0,0,0,6,5,16.0613527,0.451659472,7,19.49940422,0.548340528,35.56075693,-0.096681056,48,16,0.333333333,2.895833333,139,11,0.229166667,3.5,168,9,0.1875,0.666666667,32,16,0.333333333,2.541666667,122,0.115107914,0.06547619,0.28125,0.131147541,198.4761905,1062,24,6.913344853,89.428075,0,5.186852059,85.37098,0,0.226102941,0.3125,0,0.395680147,1.5,0,0.621783088,1.765625,0.046875,58.86382941,635.0511377,0.703125,785.629747,0.162162162,0.189189189,0.207207207,0.117117117,0.045045045,0.045045045,0,0.117117117,0.027027027,0.252252252,0.067175573,FALSE
6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,191,8,1,22,59,58,12,31,26,0,0,1,11,7,5,2,0.136125654,7,0,0,0,4,1,1,1,0.036649215,1,35,0.028571429,0,1,0,3,0,0,1,41,59,115.8735918,0.634329414,34,66.79741362,0.365670586,182.6710055,0.268658828,48,28,0.583333333,2.895833333,139,46,0.958333333,3.5,168,0,0,0.666666667,32,20,0.416666667,2.541666667,122,0.201438849,0.273809524,0,0.163934426,190.46875,962,8,6.525949724,76.773017,0,7.749076,68.55931,0,0.203125,0.3125,0.015625,0.481142241,1.453125,0,0.684267241,1.765625,0.015625,105.6366143,1144.727473,0,638.0469989,0.010152284,0.319796954,0.177664975,0.131979695,0.065989848,0.050761421,0,0.081218274,0.015228426,0.157360406,0.109017497,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,3,7,37,22,29,25,17,0,1,0,5,4,5,2,0.138211382,6,0,1,0,2,1,1,1,0.048780488,0,24,0,0,1,0,2,0,0,0,10,8,15.51584397,0.347499018,13,29.13419296,0.652500982,44.65003693,-0.305001965,48,14,0.291666667,2.895833333,139,16,0.333333333,3.5,168,5,0.104166667,0.666666667,32,8,0.166666667,2.541666667,122,0.100719424,0.095238095,0.15625,0.06557377,268.3913043,1276,6,11.72290056,77.228222,0,3.180756538,62.17649,0,0.261217949,0.3125,0.015625,0.360977564,1.453125,0,0.622195513,1.765625,0.046875,165.3103857,1339.903546,0.952792751,697.827786,0,0.504065041,0.130081301,0.138211382,0.008130081,0.016260163,0,0.06504065,0.024390244,0.113821138,0.153846154,FALSE
