@RELATION target

@ATTRIBUTE snipershotted REAL
@ATTRIBUTE less_50_snipershotted REAL
@ATTRIBUTE 50_100_snipershotted REAL
@ATTRIBUTE 100_200_snipershotted REAL
@ATTRIBUTE 200_500_snipershotted REAL
@ATTRIBUTE 500_800_snipershotted REAL
@ATTRIBUTE 800_1000_snipershotted REAL
@ATTRIBUTE more_1000_snipershotted REAL
@ATTRIBUTE sniperheadshotted REAL
@ATTRIBUTE less_50_sniperheadshotted REAL
@ATTRIBUTE 50_100_sniperheadshotted REAL
@ATTRIBUTE 100_200_sniperheadshotted REAL
@ATTRIBUTE 200_500_sniperheadshotted REAL
@ATTRIBUTE 500_800_sniperheadshotted REAL
@ATTRIBUTE 800_1000_sniperheadshotted REAL
@ATTRIBUTE more_1000_sniperheadshotted REAL
@ATTRIBUTE sniperheadpercentage REAL
@ATTRIBUTE normalshotted REAL
@ATTRIBUTE less_50_normalshotted REAL
@ATTRIBUTE 50_100_normalshotted REAL
@ATTRIBUTE 100_200_normalshotted REAL
@ATTRIBUTE 200_500_normalshotted REAL
@ATTRIBUTE 500_800_normalshotted REAL
@ATTRIBUTE 800_1000_normalshotted REAL
@ATTRIBUTE more_1000_normalshotted REAL
@ATTRIBUTE normalheadshotted REAL
@ATTRIBUTE less_50_normalheadshotted REAL
@ATTRIBUTE 50_100_normalheadshotted REAL
@ATTRIBUTE 100_200_normalheadshotted REAL
@ATTRIBUTE 200_500_normalheadshotted REAL
@ATTRIBUTE 500_800_normalheadshotted REAL
@ATTRIBUTE 800_1000_normalheadshotted REAL
@ATTRIBUTE more_1000_normalheadshotted REAL
@ATTRIBUTE normalheadpercentage REAL
@ATTRIBUTE onetap REAL
@ATTRIBUTE less_50_onetap REAL
@ATTRIBUTE 50_100_onetap REAL
@ATTRIBUTE 100_200_onetap REAL
@ATTRIBUTE 200_500_onetap REAL
@ATTRIBUTE 500_800_onetap REAL
@ATTRIBUTE 800_1000_onetap REAL
@ATTRIBUTE more_1000_onetap REAL
@ATTRIBUTE onetappercentage REAL
@ATTRIBUTE inertialshottime REAL
@ATTRIBUTE totalkills REAL
@ATTRIBUTE inertialshotpercentage REAL
@ATTRIBUTE onepenetrationwallbangtime REAL
@ATTRIBUTE twopenetrationswallbangtime REAL
@ATTRIBUTE manypenetrationswallbangtime REAL
@ATTRIBUTE firstkilltime REAL
@ATTRIBUTE blindedkilltime REAL
@ATTRIBUTE noscopekilltime REAL
@ATTRIBUTE thrusmokekilltime REAL
@ATTRIBUTE totalround REAL
@ATTRIBUTE incendiary_molotov REAL
@ATTRIBUTE incendiary_molotov_per_round REAL
@ATTRIBUTE avg_incendiary_molotov_per_round REAL
@ATTRIBUTE total_incendiary_molotov REAL
@ATTRIBUTE flashbang REAL
@ATTRIBUTE flashbang_per_round REAL
@ATTRIBUTE avg_flashbang_per_round REAL
@ATTRIBUTE total_flashbang REAL
@ATTRIBUTE hegrenade REAL
@ATTRIBUTE hegrenade_per_round REAL
@ATTRIBUTE avg_hegrenade_per_round REAL
@ATTRIBUTE total_hegrenade REAL
@ATTRIBUTE smokegrenade REAL
@ATTRIBUTE smokegrenade_per_round REAL
@ATTRIBUTE avg_smokegrenade_per_round REAL
@ATTRIBUTE total_smokegrenade REAL
@ATTRIBUTE im_applied_rate REAL
@ATTRIBUTE fb_applied_rate REAL
@ATTRIBUTE he_applied_rate REAL
@ATTRIBUTE smk_applied_rate REAL
@ATTRIBUTE flashthrown REAL
@ATTRIBUTE affectedenemycount REAL
@ATTRIBUTE affectedenemyduration REAL
@ATTRIBUTE affectedenemyefficiency REAL
@ATTRIBUTE affectedfriendlycount REAL
@ATTRIBUTE affectedfriendlyduration REAL
@ATTRIBUTE affectedfriendlydeficiency REAL
@ATTRIBUTE affectedtotalduration REAL
@ATTRIBUTE flashefficiencyintotal REAL
@ATTRIBUTE avg_killtick REAL
@ATTRIBUTE max_killtick REAL
@ATTRIBUTE min_killtick REAL
@ATTRIBUTE avg_delta REAL
@ATTRIBUTE max_delta REAL
@ATTRIBUTE min_delta REAL
@ATTRIBUTE avg_gamma REAL
@ATTRIBUTE max_gamma REAL
@ATTRIBUTE min_gamma REAL
@ATTRIBUTE avg_t0_t1_duration REAL
@ATTRIBUTE max_t0_t1_duration REAL
@ATTRIBUTE min_t0_t1_duration REAL
@ATTRIBUTE avg_t1_t2_duration REAL
@ATTRIBUTE max_t1_t2_duration REAL
@ATTRIBUTE min_t1_t2_duration REAL
@ATTRIBUTE avg_duration REAL
@ATTRIBUTE max_duration REAL
@ATTRIBUTE min_duration REAL
@ATTRIBUTE avg_speed REAL
@ATTRIBUTE max_speed REAL
@ATTRIBUTE min_speed REAL
@ATTRIBUTE damagedistance REAL
@ATTRIBUTE ratioofhitwhenmoving REAL
@ATTRIBUTE chest REAL
@ATTRIBUTE generic REAL
@ATTRIBUTE head REAL
@ATTRIBUTE leftarm REAL
@ATTRIBUTE leftleg REAL
@ATTRIBUTE neck REAL
@ATTRIBUTE rightarm REAL
@ATTRIBUTE rightleg REAL
@ATTRIBUTE stomach REAL
@ATTRIBUTE precision REAL
@ATTRIBUTE ischeater {FALSE,TRUE}

@DATA
29,0,0,0,1,0,2,26,2,0,0,0,0,0,0,2,0.068965517,24,0,0,2,5,8,6,3,6,0,0,1,2,0,2,1,0.25,2,0,0,1,1,0,0,0,0.083333333,1,27,0.037037037,2,0,0,3,0,0,2,6,3,11.91274445,0.456236281,11,14.1981655,0.543763719,26.11090995,-0.087527438,27,3,0.111111111,2.074074074,56,6,0.222222222,3.851851852,104,0,0,1.333333333,36,1,0.037037037,2.333333333,63,0.053571429,0.057692308,0,0.015873016,129.125,1114,4,16.78515384,84.74603,0,0.339858211,5.421123,0,0.168585526,0.3125,0,0.172697368,1.40625,0,0.341282895,1.625,0.03125,279.6426487,1916.520767,0,1183.258623,0.301886792,0.433962264,0,0.150943396,0.018867925,0.056603774,0,0.075471698,0.056603774,0.20754717,0.161585366,TRUE
11,0,0,0,1,5,0,5,3,0,0,0,0,0,0,3,0.272727273,41,0,0,0,5,6,13,17,7,0,0,0,1,2,2,2,0.170731707,3,0,0,0,1,2,0,0,0.073170732,0,23,0,0,0,0,3,0,0,2,9,4,6.89403264,0.297062466,10,16.31331741,0.702937534,23.20735005,-0.405875068,17,8,0.470588235,2.411764706,41,11,0.647058824,3.588235294,61,3,0.176470588,1.588235294,27,6,0.352941176,2.058823529,35,0.195121951,0.180327869,0.111111111,0.171428571,87,438,2,0.445006889,2.503671,0,0.005099556,0.026026,0,0.126736111,0.3125,0,0.071180556,0.359375,0,0.197916667,0.40625,0.015625,6.615614262,18.83700942,0,951.4702799,0.615384615,0.326923077,0.038461538,0.192307692,0.019230769,0,0,0.057692308,0.038461538,0.326923077,0.340136054,TRUE
10,0,0,0,1,1,2,6,1,0,0,0,0,0,0,1,0.1,221,0,0,17,117,45,30,12,12,0,0,0,7,3,1,1,0.054298643,0,0,0,0,0,0,0,0,0,4,40,0.1,0,0,0,5,1,0,0,2,6,2.027922344,0.329108751,2,4.13393856,0.670891249,6.161860904,-0.341782499,48,0,0,2.895833333,139,3,0.0625,3.5,168,0,0,0.666666667,32,2,0.041666667,2.541666667,122,0,0.017857143,0,0.016393443,254.5,1278,12,5.120168525,77.674404,0,1.21685795,20.843303,0,0.23203125,0.3125,0,0.2859375,1.46875,0,0.51796875,1.78125,0.078125,42.58187875,955.2012808,0.253515324,555.4816551,0.056277056,0.445887446,0.004329004,0.056277056,0.038961039,0.073593074,0.008658009,0.051948052,0.056277056,0.264069264,0.152015863,TRUE
12,0,0,0,3,2,2,5,2,0,0,0,0,1,0,1,0.166666667,141,0,0,6,48,23,18,46,37,0,0,0,13,8,6,10,0.262411348,19,0,0,0,9,5,1,4,0.134751773,66,57,1.157894737,0,0,0,8,1,0,1,8,9,13.4788099,0.501641942,8,13.39057395,0.498358058,26.86938386,0.003283884,36,6,0.166666667,1.111111111,40,9,0.25,4.833333333,174,2,0.055555556,0.916666667,33,9,0.25,2.388888889,86,0.15,0.051724138,0.060606061,0.104651163,132.1428571,1222,2,9.531523864,81.645577,0,0.336889182,4.559935,0,0.197620739,0.3125,0.015625,0.174893466,1.5,0,0.372514205,1.8125,0.015625,207.0295833,3277.618111,0,782.6389936,0.196078431,0.431372549,0.006535948,0.254901961,0.019607843,0.019607843,0,0.065359477,0.045751634,0.156862745,0.207650273,TRUE
6,0,0,0,0,1,1,4,2,0,0,0,0,0,1,1,0.333333333,169,0,1,2,46,76,18,26,41,0,0,1,19,15,3,3,0.24260355,24,0,0,1,11,8,1,3,0.142011834,99,54,1.833333333,1,0,0,11,0,0,7,5,10,16.36388243,0.796222032,2,4.188026176,0.203777968,20.55190861,0.592444064,26,6,0.230769231,1.346153846,35,7,0.269230769,2.230769231,58,1,0.038461538,0.961538462,25,11,0.423076923,2.192307692,57,0.171428571,0.120689655,0.04,0.192982456,95.97222222,859,6,13.390452,73.335581,0.00032,9.32228625,89.272571,0,0.21875,0.3125,0,0.203857422,1.421875,0,0.422607422,1.734375,0.03125,290.6436003,1769.721789,0.222270938,689.150046,0.725714286,0.434285714,0.085714286,0.245714286,0.017142857,0.022857143,0,0.045714286,0.011428571,0.137142857,0.265442404,TRUE
16,0,0,0,2,2,1,11,13,0,0,0,1,2,0,10,0.8125,100,0,0,1,12,20,9,58,50,0,0,1,8,8,6,27,0.5,25,0,0,1,3,3,6,12,0.25,16,51,0.31372549,4,0,0,13,0,1,2,1,1,1.43412672,1,0,0,0,1.43412672,1,25,0,0,0.88,22,1,0.04,2.32,58,0,0,0.36,9,2,0.08,1.76,44,0,0.017241379,0,0.045454545,188.2352941,1121,0,12.78341081,82.435804,0,1.526368469,46.210134,0,0.214355469,0.3125,0,0.198974609,1.390625,0,0.413330078,1.703125,0,259.081683,1528.914255,0,1176.291447,0.482758621,0.387931034,0,0.543103448,0.00862069,0,0,0.025862069,0.00862069,0.025862069,0.341389728,TRUE
18,0,0,0,5,5,1,7,0,0,0,0,0,0,0,0,0,149,1,2,7,34,47,26,32,9,0,0,0,2,3,2,2,0.060402685,10,0,0,1,2,3,2,2,0.067114094,42,46,0.913043478,3,0,0,5,0,0,1,22,27,45.35134597,0.673548779,19,21.98059398,0.326451221,67.33193995,0.347097559,30,15,0.5,1.933333333,58,25,0.833333333,3.566666667,107,3,0.1,0.933333333,28,19,0.633333333,1.5,45,0.25862069,0.23364486,0.107142857,0.422222222,148.7027027,1158,0,0.36406635,4.420623,0,0.09225425,1.94546,0,0.2046875,0.3125,0,0.151171875,1.5,0,0.355859375,1.8125,0,37.23546817,999,0,720.279087,0.502994012,0.311377246,0.329341317,0.053892216,0.035928144,0.017964072,0.005988024,0.065868263,0.035928144,0.143712575,0.251670379,TRUE
6,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,91,0,1,0,42,28,11,9,13,0,0,0,6,5,1,1,0.142857143,8,0,0,0,2,4,1,1,0.087912088,1,33,0.03030303,1,0,0,2,1,0,0,1,0,0,0,2,0.933497744,1,0.933497744,-1,19,2,0.105263158,1.789473684,34,2,0.105263158,4.263157895,81,0,0,0.789473684,15,1,0.052631579,1.105263158,21,0.058823529,0.024691358,0,0.047619048,108.25,1271,2,1.857987,45.448745,0,1.640499929,45.058484,0,0.166573661,0.3125,0,0.063058036,0.9375,0,0.229631696,1.25,0,86.24110942,999,0,624.7451892,0.020618557,0.546391753,0.010309278,0.134020619,0.010309278,0.020618557,0,0.082474227,0.010309278,0.18556701,0.159369527,TRUE
14,0,0,0,3,1,1,9,0,0,0,0,0,0,0,0,0,47,0,0,1,10,14,9,13,19,0,0,1,5,5,5,3,0.404255319,14,0,0,1,4,4,3,2,0.29787234,20,33,0.606060606,2,0,0,1,1,1,1,9,2,4.461390944,0.136217893,12,28.29048077,0.863782107,32.75187171,-0.727564215,30,12,0.4,2.633333333,79,10,0.333333333,3.766666667,113,5,0.166666667,0.933333333,28,9,0.3,4.466666667,134,0.151898734,0.088495575,0.178571429,0.067164179,231.3913043,1280,6,25.96706159,80.556413,0,5.9550305,67.964961,0,0.202414773,0.3125,0.015625,0.291903409,1.296875,0,0.494318182,1.609375,0.015625,544.8141698,3288.481677,0,863.3529245,0.032786885,0.393442623,0.049180328,0.31147541,0.016393443,0.016393443,0,0.049180328,0,0.163934426,0.127472527,TRUE
15,0,0,0,3,2,3,7,4,0,0,0,1,0,1,2,0.266666667,112,5,1,2,21,37,7,39,33,0,0,1,8,17,1,6,0.294642857,16,0,1,1,2,8,1,3,0.142857143,28,43,0.651162791,0,1,0,4,0,2,4,6,3,2.966068032,0.164476168,10,15.06735325,0.835523832,18.03342128,-0.671047664,25,11,0.44,2.44,61,7,0.28,3.72,93,9,0.36,1.32,33,10,0.4,3.28,82,0.180327869,0.075268817,0.272727273,0.12195122,135.92,945,0,0.47790232,2.760065,0,0.26264604,5.033231,0,0.2109375,0.3125,0.03125,0.1075,1.734375,0,0.3184375,2.046875,0.046875,16.76733899,92.58939749,0.574897311,802.974317,0.023622047,0.212598425,0.31496063,0.291338583,0.015748031,0.031496063,0,0.039370079,0.015748031,0.078740157,0.232758621,TRUE
